,LAW_CAT_CD,OFNS_DESC,YEAR,CMPLNT_NUM
0,FELONY,ABORTION,2007.0,2
1,FELONY,ABORTION,2015.0,2
2,FELONY,ABORTION,2017.0,1
3,FELONY,ARSON,2006.0,1734
4,FELONY,ARSON,2007.0,1564
5,FELONY,ARSON,2008.0,1845
6,FELONY,ARSON,2009.0,1438
7,FELONY,ARSON,2010.0,1457
8,FELONY,ARSON,2011.0,1248
9,FELONY,ARSON,2012.0,1254
10,FELONY,ARSON,2013.0,1183
11,FELONY,ARSON,2014.0,1185
12,FELONY,ARSON,2015.0,1037
13,FELONY,ARSON,2016.0,765
14,FELONY,ARSON,2017.0,658
15,FELONY,BURGLARY,2006.0,23094
16,FELONY,BURGLARY,2007.0,21716
17,FELONY,BURGLARY,2008.0,20715
18,FELONY,BURGLARY,2009.0,19440
19,FELONY,BURGLARY,2010.0,18702
20,FELONY,BURGLARY,2011.0,18862
21,FELONY,BURGLARY,2012.0,19311
22,FELONY,BURGLARY,2013.0,17421
23,FELONY,BURGLARY,2014.0,16836
24,FELONY,BURGLARY,2015.0,15151
25,FELONY,BURGLARY,2016.0,12970
26,FELONY,BURGLARY,2017.0,11896
27,FELONY,CHILD ABANDONMENT/NON SUPPORT,2006.0,45
28,FELONY,CHILD ABANDONMENT/NON SUPPORT,2007.0,62
29,FELONY,CHILD ABANDONMENT/NON SUPPORT,2008.0,41
30,FELONY,CHILD ABANDONMENT/NON SUPPORT,2009.0,24
31,FELONY,CHILD ABANDONMENT/NON SUPPORT,2010.0,33
32,FELONY,CHILD ABANDONMENT/NON SUPPORT,2011.0,40
33,FELONY,CHILD ABANDONMENT/NON SUPPORT,2012.0,25
34,FELONY,CHILD ABANDONMENT/NON SUPPORT,2013.0,38
35,FELONY,CHILD ABANDONMENT/NON SUPPORT,2014.0,25
36,FELONY,CHILD ABANDONMENT/NON SUPPORT,2015.0,32
37,FELONY,CHILD ABANDONMENT/NON SUPPORT,2016.0,21
38,FELONY,CHILD ABANDONMENT/NON SUPPORT,2017.0,18
39,FELONY,CRIMINAL MISCHIEF & RELATED OF,2006.0,7575
40,FELONY,CRIMINAL MISCHIEF & RELATED OF,2007.0,7065
41,FELONY,CRIMINAL MISCHIEF & RELATED OF,2008.0,7064
42,FELONY,CRIMINAL MISCHIEF & RELATED OF,2009.0,6326
43,FELONY,CRIMINAL MISCHIEF & RELATED OF,2010.0,6028
44,FELONY,CRIMINAL MISCHIEF & RELATED OF,2011.0,6418
45,FELONY,CRIMINAL MISCHIEF & RELATED OF,2012.0,6779
46,FELONY,CRIMINAL MISCHIEF & RELATED OF,2013.0,7566
47,FELONY,CRIMINAL MISCHIEF & RELATED OF,2014.0,8772
48,FELONY,CRIMINAL MISCHIEF & RELATED OF,2015.0,8999
49,FELONY,CRIMINAL MISCHIEF & RELATED OF,2016.0,9962
50,FELONY,CRIMINAL MISCHIEF & RELATED OF,2017.0,9751
51,FELONY,DANGEROUS DRUGS,2006.0,8152
52,FELONY,DANGEROUS DRUGS,2007.0,8912
53,FELONY,DANGEROUS DRUGS,2008.0,7698
54,FELONY,DANGEROUS DRUGS,2009.0,7011
55,FELONY,DANGEROUS DRUGS,2010.0,6021
56,FELONY,DANGEROUS DRUGS,2011.0,5607
57,FELONY,DANGEROUS DRUGS,2012.0,5309
58,FELONY,DANGEROUS DRUGS,2013.0,4996
